County,Stroke_IR
"Ben Hill County,  Georgia",0.001078
"Benewah County,  Idaho",0.000813
"Bennett County,  South Dakota",0.000647
"Bennington County,  Vermont",0.00065
"Benson County,  North Dakota",0.00092
"Bent County,  Colorado",0.000722
"Benton County,  Arkansas",0.000792
"Benton County,  Iowa",0.000521
"Benton County,  Indiana",0.000726
"Benton County,  Minnesota",0.000679
"Benton County,  Missouri",0.000823
"Benton County,  Mississippi",0.000933
"Benton County,  Oregon",0.000705
"Benton County,  Tennessee",0.000969
"Benton County,  Washington",0.000643
"Benzie County,  Michigan",0.000712
"Bergen County,  New Jersey",0.000531
"Berkeley County,  South Carolina",0.000865
"Berkeley County,  West Virginia",0.000777
"Berks County,  Pennsylvania",0.000992
"Berkshire County,  Massachusetts",0.000611
"Bernalillo County,  New Mexico",0.000698
"Berrien County,  Georgia",0.000896
"Berrien County,  Michigan",0.000992
"Bertie County,  North Carolina",0.000885
"Bethel County,  Alaska",0.001058
"Bexar County,  Texas",0.000874
"Bibb County,  Alabama",0.001121
"Bibb County,  Georgia",0.001013
"Bienville Parish County,  Louisiana",0.000904
"Big Horn County,  Montana",0.000764
"Big Horn County,  Wyoming",0.000579
"Big Stone County,  Minnesota",0.000714
"Billings County,  North Dakota",0.000556
"Bingham County,  Idaho",0.000726
"Black Hawk County,  Iowa",0.000556
"Blackford County,  Indiana",0.000758
"Bladen County,  North Carolina",0.00084
"Blaine County,  Idaho",0.000586
"Blaine County,  Montana",0.000751
"Blaine County,  Nebraska",0.000728
"Blaine County,  Oklahoma",0.000827
"Blair County,  Pennsylvania",0.000712
"Blanco County,  Texas",0.000693
"Bland County,  Virginia",0.000788
"Bleckley County,  Georgia",0.000937
"Bledsoe County,  Tennessee",0.000851
"Blount County,  Alabama",0.00101
"Blount County,  Tennessee",0.000738
"Blue Earth County,  Minnesota",0.000616
"Boise County,  Idaho",0.000656
"Bolivar County,  Mississippi",0.001137
"Bollinger County,  Missouri",0.000773
"Bon Homme County,  South Dakota",0.000731
"Bond County,  Illinois",0.00086
"Bonner County,  Idaho",0.000865
"Bonneville County,  Idaho",0.000598
"Boone County,  Arkansas",0.000766
"Boone County,  Iowa",0.000622
"Boone County,  Illinois",0.000732
"Boone County,  Indiana",0.000872
"Boone County,  Kentucky",0.000751
"Boone County,  Missouri",0.00075
"Boone County,  Nebraska",0.000631
"Boone County,  West Virginia",0.000827
"Borden County,  Texas",0.00089
"Bosque County,  Texas",0.000934
"Bossier Parish County,  Louisiana",0.000968
"Botetourt County,  Virginia",0.000731
"Bottineau County,  North Dakota",0.000771
"Boulder County,  Colorado",0.000658
"Boundary County,  Idaho",0.000858
"Bourbon County,  Kansas",0.000861
"Bourbon County,  Kentucky",0.000799
"Bowie County,  Texas",0.001072
"Bowman County,  North Dakota",0.0008
"Box Butte County,  Nebraska",0.000696
"Box Elder County,  Utah",0.000871
"Boyd County,  Kentucky",0.000871
"Boyd County,  Nebraska",0.000834
"Boyle County,  Kentucky",0.000726
"Bracken County,  Kentucky",0.001022
"Bradford County,  Florida",0.000708
"Bradford County,  Pennsylvania",0.000652
"Bradley County,  Arkansas",0.001111
"Bradley County,  Tennessee",0.000957
"Branch County,  Michigan",0.000872
"Brantley County,  Georgia",0.000657
"Braxton County,  West Virginia",0.000885
"Brazoria County,  Texas",0.000814
"Brazos County,  Texas",0.000767
"Breathitt County,  Kentucky",0.000918
"Breckinridge County,  Kentucky",0.000777
"Bremer County,  Iowa",0.000602
"Brevard County,  Florida",0.000734
"Brewster County,  Texas",0.000672
"Briscoe County,  Texas",0.001058
"Bristol Bay County,  Alaska",0
"Bristol City County,  Virginia",0.000896
"Bristol County,  Massachusetts",0.00056
"Bristol County,  Rhode Island",0.000555
"Broadwater County,  Montana",0.000573
"Bronx County,  New York",0.000479
"Brooke County,  West Virginia",0.000768
"Brookings County,  South Dakota",0.000898
"Brooks County,  Georgia",0.000899
"Brooks County,  Texas",0.000585
"Broome County,  New York",0.000607
"Broomfield County,  Colorado",0.000671
"Broward County,  Florida",0.001066
"Brown County,  Illinois",0.000638
"Brown County,  Indiana",0.000702
"Brown County,  Kansas",0.000974
"Brown County,  Minnesota",0.000653
"Brown County,  Nebraska",0.000882
"Brown County,  Ohio",0.001011
"Brown County,  South Dakota",0.000741
"Brown County,  Texas",0.000922
"Brown County,  Wisconsin",0.000695
"Brule County,  South Dakota",0.000673
"Brunswick County,  North Carolina",0.000845
"Brunswick County,  Virginia",0.001118
"Bryan County,  Georgia",0.000841
"Bryan County,  Oklahoma",0.000831
"Buchanan County,  Iowa",0.000537
"Buchanan County,  Missouri",0.000984
"Buchanan County,  Virginia",0.000622
"Buckingham County,  Virginia",0.000653
"Bucks County,  Pennsylvania",0.00065
"Buena Vista City County,  Virginia",0.000695
"Buena Vista County,  Iowa",0.000735
"Buffalo County,  Nebraska",0.000612
"Buffalo County,  South Dakota",0.000709
"Buffalo County,  Wisconsin",0.000731
"Bullitt County,  Kentucky",0.000634
"Bulloch County,  Georgia",0.000991
"Bullock County,  Alabama",0.001046
"Buncombe County,  North Carolina",0.000805
"Bureau County,  Illinois",0.0007
"Burke County,  Georgia",0.000883
"Burke County,  North Carolina",0.000935
"Burke County,  North Dakota",0.000709
"Burleigh County,  North Dakota",0.000649
"Burleson County,  Texas",0.000715
"Burlington County,  New Jersey",0.000677
"Burnet County,  Texas",0.000696
"Burnett County,  Wisconsin",0.000743
"Burt County,  Nebraska",0.000531
"Butler County,  Alabama",0.001145
"Butler County,  Iowa",0.000582
"Butler County,  Kansas",0.000795
"Butler County,  Kentucky",0.000876
"Butler County,  Missouri",0.001044
"Butler County,  Nebraska",0.000647
"Butler County,  Ohio",0.000842
"Butler County,  Pennsylvania",0.0007
"Butte County,  California",0.000781
"Butte County,  Idaho",0.000588
"Butte County,  South Dakota",0.000551
"Butts County,  Georgia",0.000996
"Cabarrus County,  North Carolina",0.000855
"Cabell County,  West Virginia",0.001001
"Barceloneta Municipio County,  Puerto Rico",0.000519
"Cache County,  Utah",0.00075
"Caddo County,  Oklahoma",0.000816
"Caddo Parish County,  Louisiana",0.000927
"Barranquitas Municipio County,  Puerto Rico",0.000615
"Calaveras County,  California",0.000763
"Calcasieu Parish County,  Louisiana",0.00124
"Caldwell County,  Kentucky",0.000984
"Caldwell County,  Missouri",0.000866
"Caldwell County,  North Carolina",0.00082
"Caldwell County,  Texas",0.000703
"Caldwell Parish County,  Louisiana",0.000674
"Caledonia County,  Vermont",0.000555
"Calhoun County,  Alabama",0.000855
"Calhoun County,  Arkansas",0.001027
"Calhoun County,  Florida",0.000703
"Calhoun County,  Georgia",0.000883
"Calhoun County,  Iowa",0.000691
"Calhoun County,  Illinois",0.000619
"Calhoun County,  Michigan",0.000693
"Calhoun County,  Mississippi",0.001098
"Calhoun County,  South Carolina",0.00099
"Calhoun County,  Texas",0.000777
"Calhoun County,  West Virginia",0.000823
"Callahan County,  Texas",0.000834
"Callaway County,  Missouri",0.000705
"Calloway County,  Kentucky",0.000928
"Calumet County,  Wisconsin",0.000662
"Calvert County,  Maryland",0.00068
"Camas County,  Idaho",0.000474
"Cambria County,  Pennsylvania",0.000703
"Camden County,  Georgia",0.000607
"Camden County,  Missouri",0.000829
"Camden County,  North Carolina",0.000721
"Camden County,  New Jersey",0.000735
"Cameron County,  Pennsylvania",0.000673
"Cameron County,  Texas",0.000552
"Cameron Parish County,  Louisiana",0.000966
"Camp County,  Texas",0.00099
"Campbell County,  Kentucky",0.000737
"Campbell County,  South Dakota",0.000484
"Campbell County,  Tennessee",0.000894
"Campbell County,  Virginia",0.000758
"Campbell County,  Wyoming",0.000576
"Bayamon Municipio County,  Puerto Rico",0.000464
"Canadian County,  Oklahoma",0.000835
"Candler County,  Georgia",0.001127
"Cannon County,  Tennessee",0.000876
"Cabo Rojo Municipio County,  Puerto Rico",0.000494
"Canyon County,  Idaho",0.000703
"Cape Girardeau County,  Missouri",0.00068
"Cape May County,  New Jersey",0.000795
"Carbon County,  Montana",0.000636
"Carbon County,  Pennsylvania",0.000638
"Carbon County,  Utah",0.000793
"Carbon County,  Wyoming",0.00062
"Caribou County,  Idaho",0.000848
"Carlisle County,  Kentucky",0.000806
"Carlton County,  Minnesota",0.00069
"Caguas Municipio County,  Puerto Rico",0.000488
"Caroline County,  Maryland",0.0008
"Caroline County,  Virginia",0.000663
"Carroll County,  Arkansas",0.00076
"Carroll County,  Georgia",0.000957
"Carroll County,  Iowa",0.000739
"Carroll County,  Illinois",0.000705
"Carroll County,  Indiana",0.00075
"Carroll County,  Kentucky",0.000853
"Carroll County,  Maryland",0.000888
"Carroll County,  Missouri",0.000794
"Carroll County,  Mississippi",0.001213
"Carroll County,  New Hampshire",0.000566
"Carroll County,  Ohio",0.000724
"Carroll County,  Tennessee",0.001134
"Carroll County,  Virginia",0.000745
"Carson City County,  Nevada",0.000676
"Carson County,  Texas",0.000726
"Carter County,  Kentucky",0.00084
"Carter County,  Missouri",0.000927
"Carter County,  Montana",0.00058
"Carter County,  Oklahoma",0.001006
"Carter County,  Tennessee",0.000771
"Carteret County,  North Carolina",0.000773
"Carver County,  Minnesota",0.000524
"Cascade County,  Montana",0.00061
"Casey County,  Kentucky",0.000818
"Cass County,  Iowa",0.000753
"Cass County,  Illinois",0.000776
"Cass County,  Indiana",0.000757
"Cass County,  Michigan",0.000808
"Cass County,  Minnesota",0.000674
"Cass County,  Missouri",0.000696
"Cass County,  North Dakota",0.000575
"Cass County,  Nebraska",0.000624
"Cass County,  Texas",0.001192
"Cassia County,  Idaho",0.000741
"Castro County,  Texas",0.000742
"Caswell County,  North Carolina",0.000753
"Catahoula Parish County,  Louisiana",0.001244
"Camuy Municipio County,  Puerto Rico",0.000522
"Catawba County,  North Carolina",0.000891
"Catoosa County,  Georgia",0.000913
"Catron County,  New Mexico",0.000555
"Cattaraugus County,  New York",0.000708
"Cavalier County,  North Dakota",0.000803
"Canovanas Municipio County,  Puerto Rico",0.000521
"Cayuga County,  New York",0.000633
"Cecil County,  Maryland",0.000947
"Cedar County,  Iowa",0.00059
"Cedar County,  Missouri",0.001092
"Cedar County,  Nebraska",0.000629
"Carolina Municipio County,  Puerto Rico",0.000508
"Centre County,  Pennsylvania",0.000684
"Cerro Gordo County,  Iowa",0.000617
"Chaffee County,  Colorado",0.00057
"Chambers County,  Alabama",0.000884
"Chambers County,  Texas",0.000822
"Champaign County,  Illinois",0.000693
"Champaign County,  Ohio",0.000879
"Chariton County,  Missouri",0.000902
"Charles City County,  Virginia",0.000767
"Charles County,  Maryland",0.000527
"Charles Mix County,  South Dakota",0.00072
"Charleston County,  South Carolina",0.000784
"Charlevoix County,  Michigan",0.000734
"Charlotte County,  Florida",0.00051
"Charlotte County,  Virginia",0.00088
"Charlottesville City County,  Virginia",0.000674
"Charlton County,  Georgia",0.000686
"Chase County,  Kansas",0.000863
"Chase County,  Nebraska",0.000576
"Chatham County,  Georgia",0.00082
"Chatham County,  North Carolina",0.000695
"Chattahoochee County,  Georgia",0.001004
"Chattooga County,  Georgia",0.000993
"Chautauqua County,  Kansas",0.000829
"Chautauqua County,  New York",0.000733
"Chaves County,  New Mexico",0.000644
"Cheatham County,  Tennessee",0.001084
"Cheboygan County,  Michigan",0.000758
"Chelan County,  Washington",0.000595
"Chemung County,  New York",0.00062
"Chenango County,  New York",0.000606
"Cherokee County,  Alabama",0.000916
"Cherokee County,  Georgia",0.000749
"Cherokee County,  Iowa",0.000574
"Cherokee County,  Kansas",0.000806
"Cherokee County,  North Carolina",0.000783
"Cherokee County,  Oklahoma",0.000805
"Cherokee County,  South Carolina",0.00096
"Cherokee County,  Texas",0.000949
"Cherry County,  Nebraska",0.000748
"Chesapeake City County,  Virginia",0.000713
"Cheshire County,  New Hampshire",0.0006
"Chester County,  Pennsylvania",0.0007
"Chester County,  South Carolina",0.000934
"Chester County,  Tennessee",0.000931
"Chesterfield County,  South Carolina",0.001198
"Chesterfield County,  Virginia",0.000809
"Cheyenne County,  Colorado",0.000483
"Cheyenne County,  Kansas",0.000615
"Cheyenne County,  Nebraska",0.000605
"Chickasaw County,  Iowa",0.000635
"Chickasaw County,  Mississippi",0.00117
"Chicot County,  Arkansas",0.001043
"Childress County,  Texas",0.000989
"Chilton County,  Alabama",0.001001
"Chippewa County,  Michigan",0.00072
"Chippewa County,  Minnesota",0.000629
"Chippewa County,  Wisconsin",0.000651
"Chisago County,  Minnesota",0.000585
"Chittenden County,  Vermont",0.000576
"Choctaw County,  Alabama",0.001157
"Choctaw County,  Mississippi",0.001027
"Choctaw County,  Oklahoma",0.000848
"Chouteau County,  Montana",0.000691
"Chowan County,  North Carolina",0.000925
"Christian County,  Illinois",0.000796
"Christian County,  Kentucky",0.00092
"Christian County,  Missouri",0.001229
"Churchill County,  Nevada",0.000599
"Catano Municipio County,  Puerto Rico",0.000487
"Cibola County,  New Mexico",0.000672
"Cayey Municipio County,  Puerto Rico",0.000531
"Cimarron County,  Oklahoma",0.000955
"Citrus County,  Florida",0.001104
"Clackamas County,  Oregon",0.000734
"Claiborne County,  Mississippi",0.001037
"Claiborne County,  Tennessee",0.001026
"Claiborne Parish County,  Louisiana",0.000832
"Clallam County,  Washington",0.000696
"Clare County,  Michigan",0.000706
"Clarendon County,  South Carolina",0.001101
"Clarion County,  Pennsylvania",0.000764
"Clark County,  Arkansas",0.001035
"Clark County,  Idaho",0.000478
"Clark County,  Illinois",0.000916
"Clark County,  Indiana",0.0008
"Clark County,  Kansas",0.000593
"Clark County,  Kentucky",0.000855
"Clark County,  Missouri",0.000688
"Clark County,  Nevada",0.000711
"Clark County,  Ohio",0.001131
"Clark County,  South Dakota",0.000734
"Clark County,  Washington",0.000698
"Clark County,  Wisconsin",0.000611
"Clarke County,  Alabama",0.000877
"Clarke County,  Georgia",0.000908
"Clarke County,  Iowa",0.000641
"Clarke County,  Mississippi",0.001048
"Clarke County,  Virginia",0.000627
"Clatsop County,  Oregon",0.000741
"Clay County,  Alabama",0.00091
"Clay County,  Arkansas",0.001075
"Clay County,  Florida",0.000719
"Clay County,  Georgia",0.000812
"Clay County,  Iowa",0.000722
"Clay County,  Illinois",0.000785
"Clay County,  Indiana",0.000802
"Clay County,  Kansas",0.000674
"Clay County,  Kentucky",0.000853
"Clay County,  Minnesota",0.000576
"Clay County,  Missouri",0.000758
"Clay County,  Mississippi",0.001015
"Clay County,  North Carolina",0.000834
"Clay County,  Nebraska",0.000738
"Clay County,  South Dakota",0.000626
"Clay County,  Tennessee",0.00099
"Clay County,  Texas",0.001138
"Clay County,  West Virginia",0.000931
"Clayton County,  Georgia",0.000889
"Clayton County,  Iowa",0.000687
"Clear Creek County,  Colorado",0.000637
"Clearfield County,  Pennsylvania",0.000711
"Clearwater County,  Idaho",0.000728
"Clearwater County,  Minnesota",0.000812
"Cleburne County,  Alabama",0.000884
"Cleburne County,  Arkansas",0.000905
"Clermont County,  Ohio",0.001045
"Cleveland County,  Arkansas",0.00104
"Cleveland County,  North Carolina",0.001008
"Cleveland County,  Oklahoma",0.000769
"Clinch County,  Georgia",0.00086
"Clinton County,  Iowa",0.00065
"Clinton County,  Illinois",0.000811
"Clinton County,  Indiana",0.000934
"Clinton County,  Kentucky",0.000965
"Clinton County,  Michigan",0.000714
"Clinton County,  Missouri",0.000886
"Clinton County,  New York",0.000568
"Clinton County,  Ohio",0.001042
"Clinton County,  Pennsylvania",0.000688
"Cloud County,  Kansas",0.001037
"Coahoma County,  Mississippi",0.00107
"Coal County,  Oklahoma",0.000745
"Ceiba Municipio County,  Puerto Rico",0.000474
"Cobb County,  Georgia",0.000852
"Cochise County,  Arizona",0.00062
"Cochran County,  Texas",0.000764
"Cocke County,  Tennessee",0.000896
"Coconino County,  Arizona",0.000599
"Codington County,  South Dakota",0.000772
"Coffee County,  Alabama",0.001003
"Coffee County,  Georgia",0.001072
"Coffee County,  Tennessee",0.000903
"Coffey County,  Kansas",0.000654
"Coke County,  Texas",0.000698
"Colbert County,  Alabama",0.001066
"Cole County,  Missouri",0.000717
"Coleman County,  Texas",0.001008
"Coles County,  Illinois",0.000839
"Colfax County,  Nebraska",0.00061
"Colfax County,  New Mexico",0.000544
"Colleton County,  South Carolina",0.001083
"Collier County,  Florida",0.000519
"Collin County,  Texas",0.000701
"Collingsworth County,  Texas",0.000835
"Colonial Heights City County,  Virginia",0.000818
"Colorado County,  Texas",0.000696
"Colquitt County,  Georgia",0.000938
"Columbia County,  Arkansas",0.001204
"Columbia County,  Florida",0.000814
"Columbia County,  Georgia",0.000715
"Columbia County,  New York",0.00055
"Columbia County,  Oregon",0.000751
"Columbia County,  Pennsylvania",0.000662
"Columbia County,  Washington",0.000769
"Columbia County,  Wisconsin",0.000628
"Columbiana County,  Ohio",0.000785
"Columbus County,  North Carolina",0.000854
"Colusa County,  California",0.000753
"Comal County,  Texas",0.000821
"Comanche County,  Kansas",0.000465
"Comanche County,  Oklahoma",0.000831
"Comanche County,  Texas",0.000896
"Ciales Municipio County,  Puerto Rico",0.0005
"Concho County,  Texas",0.00123
"Concordia Parish County,  Louisiana",0.000996
"Conecuh County,  Alabama",0.001176
"Conejos County,  Colorado",0.000635
"Contra Costa County,  California",0.000838
"Converse County,  Wyoming",0.000644
"Conway County,  Arkansas",0.001058
"Cook County,  Georgia",0.000899
"Cook County,  Illinois",0.000752
"Cook County,  Minnesota",0.000557
"Cooke County,  Texas",0.000905
"Cooper County,  Missouri",0.000762
"Coos County,  New Hampshire",0.000563
"Coos County,  Oregon",0.00079
"Coosa County,  Alabama",0.000887
"Copiah County,  Mississippi",0.000977
"Cidra Municipio County,  Puerto Rico",0.000519
"Corson County,  South Dakota",0.000477
"Cortland County,  New York",0.000615
"Coryell County,  Texas",0.000851
"Coshocton County,  Ohio",0.000754
"Costilla County,  Colorado",0.000605
"Cottle County,  Texas",0.000855
"Cotton County,  Oklahoma",0.000872
"Cottonwood County,  Minnesota",0.000663
"Covington City County,  Virginia",0.001457
"Covington County,  Alabama",0.001015
"Covington County,  Mississippi",0.001269
"Coweta County,  Georgia",0.00065
"Cowley County,  Kansas",0.000814
"Cowlitz County,  Washington",0.00071
"Craig County,  Oklahoma",0.000758
"Craig County,  Virginia",0.000689
"Craighead County,  Arkansas",0.000873
"Crane County,  Texas",0.000841
"Craven County,  North Carolina",0.000786
"Crawford County,  Arkansas",0.000754
"Crawford County,  Georgia",0.000903
"Crawford County,  Iowa",0.000841
"Crawford County,  Illinois",0.001138
"Crawford County,  Indiana",0.000874
"Crawford County,  Kansas",0.000814
"Crawford County,  Michigan",0.00077
"Crawford County,  Missouri",0.00093
"Crawford County,  Ohio",0.000985
"Crawford County,  Pennsylvania",0.000832
"Crawford County,  Wisconsin",0.000753
"Creek County,  Oklahoma",0.000824
"Crenshaw County,  Alabama",0.001093
"Crisp County,  Georgia",0.000839
"Crittenden County,  Arkansas",0.000948
"Crittenden County,  Kentucky",0.001017
"Crockett County,  Tennessee",0.000932
"Crockett County,  Texas",0.00053
"Crook County,  Oregon",0.000778
"Crook County,  Wyoming",0.000532
"Crosby County,  Texas",0.001095
"Cross County,  Arkansas",0.000967
"Crow Wing County,  Minnesota",0.000696
"Crowley County,  Colorado",0.000764
"Culberson County,  Texas",0.000654
"Coamo Municipio County,  Puerto Rico",0.000671
"Cullman County,  Alabama",0.001001
"Culpeper County,  Virginia",0.000687
"Cumberland County,  Illinois",0.000875
"Cumberland County,  Kentucky",0.000922
"Cumberland County,  Maine",0.000592
"Cumberland County,  North Carolina",0.000832
"Cumberland County,  New Jersey",0.000876
"Cumberland County,  Pennsylvania",0.000686
"Cumberland County,  Tennessee",0.000698
"Cumberland County,  Virginia",0.000719
"Cuming County,  Nebraska",0.000533
"Currituck County,  North Carolina",0.000695
"Curry County,  New Mexico",0.000659
"Curry County,  Oregon",0.000753
"Custer County,  Colorado",0.00076
"Custer County,  Idaho",0.000555
"Custer County,  Montana",0.000693
"Custer County,  Nebraska",0.000567
"Custer County,  Oklahoma",0.000821
"Custer County,  South Dakota",0.000614
"Cuyahoga County,  Ohio",0.000671
"Dade County,  Georgia",0.000992
"Dade County,  Missouri",0.00087
"Daggett County,  Utah",0.000631
"Dakota County,  Minnesota",0.000612
"Dakota County,  Nebraska",0.000548
"Dale County,  Alabama",0.000885
"Dallam County,  Texas",0.00094
"Dallas County,  Alabama",0.001093
"Dallas County,  Arkansas",0.001075
"Dallas County,  Iowa",0.000609
"Dallas County,  Missouri",0.000865
"Dallas County,  Texas",0.000934
"Dane County,  Wisconsin",0.000582
"Daniels County,  Montana",0.000656
"Danville City County,  Virginia",0.00095
"Dare County,  North Carolina",0.000622
"Darke County,  Ohio",0.000852
"Darlington County,  South Carolina",0.001469
"Dauphin County,  Pennsylvania",0.000712
"Davidson County,  North Carolina",0.000951
"Davidson County,  Tennessee",0.000917
"Davie County,  North Carolina",0.000936
"Daviess County,  Indiana",0.001059
"Daviess County,  Kentucky",0.00077
"Daviess County,  Missouri",0.000872
"Davis County,  Iowa",0.000767
"Davis County,  Utah",0.000733
"Davison County,  South Dakota",0.000763
"Dawes County,  Nebraska",0.000652
"Dawson County,  Georgia",0.000793
"Dawson County,  Montana",0.00066
"Dawson County,  Nebraska",0.000545
"Dawson County,  Texas",0.000872
"Day County,  South Dakota",0.000776
