Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
2000,North Carolina,Melanomas of the Skin,16,15.1,16.9,1286,8081614
2000,Pennsylvania,Melanomas of the Skin,14.9,14.2,15.5,2014,12284173
2000,South Carolina,Melanomas of the Skin,15.9,14.7,17.2,635,4024223
2000,Virginia,Melanomas of the Skin,15,14.1,15.9,1037,7105817
2000,West Virginia,Melanomas of the Skin,15.8,14.1,17.7,319,1807021
2000,Arizona,Melanomas of the Skin,17.6,16.4,18.8,896,5160586
2000,California,Melanomas of the Skin,18.1,17.7,18.6,5598,33987977
2000,Florida,Melanomas of the Skin,19.8,19.2,20.5,3782,16047515
2000,Idaho,Melanomas of the Skin,20.2,17.8,22.9,245,1299430
2000,Iowa,Melanomas of the Skin,17.6,16.2,19.2,541,2929067
2000,Kentucky,Melanomas of the Skin,20.1,18.8,21.6,826,4049021
2000,Maryland,Melanomas of the Skin,17.4,16.3,18.5,909,5311034
2000,Michigan,Melanomas of the Skin,18.1,17.3,19,1789,9952450
2000,Minnesota,Melanomas of the Skin,18.1,16.9,19.4,877,4933692
2000,Montana,Melanomas of the Skin,19.7,16.9,22.7,185,903773
2000,New Mexico,Melanomas of the Skin,18.4,16.5,20.6,322,1821204
2000,Utah,Melanomas of the Skin,20.5,18.4,22.8,357,2244502
2000,Wyoming,Melanomas of the Skin,20.3,16.4,24.7,98,494300
2000,Arkansas,Melanomas of the Skin,null,null,null,Data Suppressed,null
2000,Colorado,Melanomas of the Skin,21.4,20,22.9,856,4326921
2000,Connecticut,Melanomas of the Skin,23.5,21.9,25.1,849,3411777
2000,Mississippi,Melanomas of the Skin,null,null,null,Data Suppressed,null
2000,New Hampshire,Melanomas of the Skin,23,20.4,25.8,288,1239882
2000,Oregon,Melanomas of the Skin,23.6,22,25.3,825,3429708
2000,Rhode Island,Melanomas of the Skin,20.9,18.3,23.8,233,1050268
2000,South Dakota,Melanomas of the Skin,null,null,null,Data Suppressed,null
2000,Vermont,Melanomas of the Skin,27.4,23.4,31.8,174,609618
2000,Washington,Melanomas of the Skin,23.6,22.3,24.9,1362,5910512
2001,District of Columbia,Melanomas of the Skin,9.4,7.1,12.2,55,574504
2001,Louisiana,Melanomas of the Skin,11,10.1,12.1,475,4477875
2001,Missouri,Melanomas of the Skin,12.4,11.5,13.3,721,5641142
2001,North Dakota,Melanomas of the Skin,12.1,9.6,15.1,80,639062
2001,South Dakota,Melanomas of the Skin,12.3,10,15,97,757972
2001,Tennessee,Melanomas of the Skin,11.4,10.5,12.3,669,5750789
2001,Alabama,Melanomas of the Skin,13.8,12.7,14.9,632,4467634
2001,Alaska,Melanomas of the Skin,14.6,11.1,18.8,71,633714
2001,Arkansas,Melanomas of the Skin,13.7,12.3,15.1,385,2691571
2001,Illinois,Melanomas of the Skin,13.3,12.7,14,1625,12488445
2001,New York,Melanomas of the Skin,12.7,12.2,13.2,2471,19082838
2001,North Carolina,Melanomas of the Skin,13.9,13.1,14.7,1133,8210122
2001,Oklahoma,Melanomas of the Skin,13,11.8,14.2,457,3467100
2001,Texas,Melanomas of the Skin,14.6,14.1,15.2,2756,21319622
2001,Virginia,Melanomas of the Skin,14.7,13.8,15.6,1042,7198362
2001,Hawaii,Melanomas of the Skin,15.3,13.3,17.6,197,1225948
2001,Indiana,Melanomas of the Skin,17.1,16.1,18.2,1041,6127760
2001,Kansas,Melanomas of the Skin,17.3,15.7,18.9,468,2702162
2001,Nebraska,Melanomas of the Skin,15.3,13.5,17.2,266,1719836
2001,Ohio,Melanomas of the Skin,16,15.2,16.7,1869,11387404
2001,Pennsylvania,Melanomas of the Skin,16.6,15.9,17.3,2240,12298970
2001,South Carolina,Melanomas of the Skin,16.3,15.1,17.6,664,4064995
2001,West Virginia,Melanomas of the Skin,17.2,15.4,19.1,344,1801481
2001,Wisconsin,Melanomas of the Skin,15.5,14.5,16.6,852,5406835
2001,Arizona,Melanomas of the Skin,19.9,18.7,21.2,1041,5273477
2001,California,Melanomas of the Skin,19.3,18.8,19.8,6069,34479458
2001,Colorado,Melanomas of the Skin,20.4,19.1,21.9,843,4425687
