County,Stroke_IR
"Cavalier County, North Dakota",80.30
"Canovanas Municipio County, Puerto Rico",52.10
"Cayuga County, New York",63.30
"Cecil County, Maryland",94.70
"Cedar County, Iowa",59.00
"Cedar County, Missouri",109.20
"Cedar County, Nebraska",62.90
"Carolina Municipio County, Puerto Rico",50.80
"Centre County, Pennsylvania",68.40
"Cerro Gordo County, Iowa",61.70
"Chaffee County, Colorado",57.00
"Chambers County, Alabama",88.40
"Chambers County, Texas",82.20
"Champaign County, Illinois",69.30
"Champaign County, Ohio",87.90
"Chariton County, Missouri",90.20
"Charles City County, Virginia",76.70
"Charles County, Maryland",52.70
"Charles Mix County, South Dakota",72.00
"Charleston County, South Carolina",78.40
"Charlevoix County, Michigan",73.40
"Charlotte County, Florida",51.00
"Charlotte County, Virginia",88.00
"Charlottesville City County, Virginia",67.40
"Charlton County, Georgia",68.60
"Chase County, Kansas",86.30
"Chase County, Nebraska",57.60
"Chatham County, Georgia",82.00
"Chatham County, North Carolina",69.50
"Chattahoochee County, Georgia",100.40
"Chattooga County, Georgia",99.30
"Chautauqua County, Kansas",82.90
"Chautauqua County, New York",73.30
"Chaves County, New Mexico",64.40
"Cheatham County, Tennessee",108.40
"Cheboygan County, Michigan",75.80
"Chelan County, Washington",59.50
"Chemung County, New York",62.00
"Chenango County, New York",60.60
"Cherokee County, Alabama",91.60
"Cherokee County, Georgia",74.90
"Cherokee County, Iowa",57.40
"Cherokee County, Kansas",80.60
"Cherokee County, North Carolina",78.30
"Cherokee County, Oklahoma",80.50
"Cherokee County, South Carolina",96.00
"Cherokee County, Texas",94.90
"Cherry County, Nebraska",74.80
"Chesapeake City County, Virginia",71.30
"Cheshire County, New Hampshire",60.00
"Chester County, Pennsylvania",70.00
"Chester County, South Carolina",93.40
"Chester County, Tennessee",93.10
"Chesterfield County, South Carolina",119.80
"Chesterfield County, Virginia",80.90
"Cheyenne County, Colorado",48.30
"Cheyenne County, Kansas",61.50
"Cheyenne County, Nebraska",60.50
"Chickasaw County, Iowa",63.50
"Chickasaw County, Mississippi",117.00
"Chicot County, Arkansas",104.30
"Childress County, Texas",98.90
"Chilton County, Alabama",100.10
"Chippewa County, Michigan",72.00
"Chippewa County, Minnesota",62.90
"Chippewa County, Wisconsin",65.10
"Chisago County, Minnesota",58.50
"Chittenden County, Vermont",57.60
"Choctaw County, Alabama",115.70
"Choctaw County, Mississippi",102.70
"Choctaw County, Oklahoma",84.80
"Chouteau County, Montana",69.10
"Chowan County, North Carolina",92.50
"Christian County, Illinois",79.60
"Christian County, Kentucky",92.00
"Christian County, Missouri",122.90
"Churchill County, Nevada",59.90
"Catano Municipio County, Puerto Rico",48.70
"Cibola County, New Mexico",67.20
"Cayey Municipio County, Puerto Rico",53.10
"Cimarron County, Oklahoma",95.50
"Citrus County, Florida",110.40
"Clackamas County, Oregon",73.40
"Claiborne County, Mississippi",103.70
"Claiborne County, Tennessee",102.60
"Claiborne Parish County, Louisiana",83.20
"Clallam County, Washington",69.60
"Clare County, Michigan",70.60
"Clarendon County, South Carolina",110.10
"Clarion County, Pennsylvania",76.40
"Clark County, Arkansas",103.50
"Clark County, Idaho",47.80
"Clark County, Illinois",91.60
"Clark County, Indiana",80.00
"Clark County, Kansas",59.30
"Clark County, Kentucky",85.50
"Clark County, Missouri",68.80
"Clark County, Nevada",71.10
"Clark County, Ohio",113.10
"Clark County, South Dakota",73.40
"Clark County, Washington",69.80
"Clark County, Wisconsin",61.10
"Clarke County, Alabama",87.70
"Clarke County, Georgia",90.80
"Clarke County, Iowa",64.10
"Clarke County, Mississippi",104.80
"Clarke County, Virginia",62.70
"Clatsop County, Oregon",74.10
"Clay County, Alabama",91.00
"Clay County, Arkansas",107.50
"Clay County, Florida",71.90
"Clay County, Georgia",81.20
"Clay County, Iowa",72.20
"Clay County, Illinois",78.50
"Clay County, Indiana",80.20
"Clay County, Kansas",67.40
"Clay County, Kentucky",85.30
"Clay County, Minnesota",57.60
"Clay County, Missouri",75.80
"Clay County, Mississippi",101.50
"Clay County, North Carolina",83.40
"Clay County, Nebraska",73.80
"Clay County, South Dakota",62.60
"Clay County, Tennessee",99.00
"Clay County, Texas",113.80
"Clay County, West Virginia",93.10
"Clayton County, Georgia",88.90
"Clayton County, Iowa",68.70
"Clear Creek County, Colorado",63.70
"Clearfield County, Pennsylvania",71.10
"Clearwater County, Idaho",72.80
"Clearwater County, Minnesota",81.20
"Cleburne County, Alabama",88.40
"Cleburne County, Arkansas",90.50
"Clermont County, Ohio",104.50
"Cleveland County, Arkansas",104.00
"Cleveland County, North Carolina",100.80
"Cleveland County, Oklahoma",76.90
"Clinch County, Georgia",86.00
"Clinton County, Iowa",65.00
"Clinton County, Illinois",81.10
"Clinton County, Indiana",93.40
"Clinton County, Kentucky",96.50
"Clinton County, Michigan",71.40
"Clinton County, Missouri",88.60
"Clinton County, New York",56.80
"Clinton County, Ohio",104.20
"Clinton County, Pennsylvania",68.80
"Cloud County, Kansas",103.70
"Coahoma County, Mississippi",107.00
"Coal County, Oklahoma",74.50
"Ceiba Municipio County, Puerto Rico",47.40
"Cobb County, Georgia",85.20
"Cochise County, Arizona",62.00
"Cochran County, Texas",76.40
"Cocke County, Tennessee",89.60
"Coconino County, Arizona",59.90
"Codington County, South Dakota",77.20
"Coffee County, Alabama",100.30
"Coffee County, Georgia",107.20
"Coffee County, Tennessee",90.30
"Coffey County, Kansas",65.40
"Coke County, Texas",69.80
"Colbert County, Alabama",106.60
"Cole County, Missouri",71.70
"Coleman County, Texas",100.80
"Coles County, Illinois",83.90
"Colfax County, Nebraska",61.00
"Colfax County, New Mexico",54.40
"Colleton County, South Carolina",108.30
"Collier County, Florida",51.90
"Collin County, Texas",70.10
"Collingsworth County, Texas",83.50
"Colonial Heights City County, Virginia",81.80
"Colorado County, Texas",69.60
"Colquitt County, Georgia",93.80
"Columbia County, Arkansas",120.40
"Columbia County, Florida",81.40
"Columbia County, Georgia",71.50
"Columbia County, New York",55.00
"Columbia County, Oregon",75.10
"Columbia County, Pennsylvania",66.20
"Columbia County, Washington",76.90
"Columbia County, Wisconsin",62.80
"Columbiana County, Ohio",78.50
"Columbus County, North Carolina",85.40
"Colusa County, California",75.30
"Comal County, Texas",82.10
"Comanche County, Kansas",46.50
"Comanche County, Oklahoma",83.10
"Comanche County, Texas",89.60
"Ciales Municipio County, Puerto Rico",50.00
"Concho County, Texas",123.00
"Concordia Parish County, Louisiana",99.60
"Conecuh County, Alabama",117.60
"Conejos County, Colorado",63.50
"Contra Costa County, California",83.80
"Converse County, Wyoming",64.40
"Conway County, Arkansas",105.80
"Cook County, Georgia",89.90
"Cook County, Illinois",75.20
"Cook County, Minnesota",55.70
"Cooke County, Texas",90.50
"Cooper County, Missouri",76.20
"Coos County, New Hampshire",56.30
"Coos County, Oregon",79.00
"Coosa County, Alabama",88.70
"Copiah County, Mississippi",97.70
"Cidra Municipio County, Puerto Rico",51.90
"Corson County, South Dakota",47.70
"Cortland County, New York",61.50
"Coryell County, Texas",85.10
"Coshocton County, Ohio",75.40
"Costilla County, Colorado",60.50
"Cottle County, Texas",85.50
"Cotton County, Oklahoma",87.20
"Cottonwood County, Minnesota",66.30
"Covington City County, Virginia",145.70
"Covington County, Alabama",101.50
"Covington County, Mississippi",126.90
"Coweta County, Georgia",65.00
"Cowley County, Kansas",81.40
"Cowlitz County, Washington",71.00
"Craig County, Oklahoma",75.80
"Craig County, Virginia",68.90
"Craighead County, Arkansas",87.30
"Crane County, Texas",84.10
"Craven County, North Carolina",78.60
"Crawford County, Arkansas",75.40
"Crawford County, Georgia",90.30
"Crawford County, Iowa",84.10
"Crawford County, Illinois",113.80
"Crawford County, Indiana",87.40
"Crawford County, Kansas",81.40
"Crawford County, Michigan",77.00
"Crawford County, Missouri",93.00
"Crawford County, Ohio",98.50
"Crawford County, Pennsylvania",83.20
"Crawford County, Wisconsin",75.30
"Creek County, Oklahoma",82.40
"Crenshaw County, Alabama",109.30
"Crisp County, Georgia",83.90
"Crittenden County, Arkansas",94.80
"Crittenden County, Kentucky",101.70
"Crockett County, Tennessee",93.20
"Crockett County, Texas",53.00
"Crook County, Oregon",77.80
"Crook County, Wyoming",53.20
"Crosby County, Texas",109.50
"Cross County, Arkansas",96.70
"Crow Wing County, Minnesota",69.60
"Crowley County, Colorado",76.40
"Culberson County, Texas",65.40
"Coamo Municipio County, Puerto Rico",67.10
"Cullman County, Alabama",100.10
"Culpeper County, Virginia",68.70
"Cumberland County, Illinois",87.50
"Cumberland County, Kentucky",92.20
"Cumberland County, Maine",59.20
"Cumberland County, North Carolina",83.20
"Cumberland County, New Jersey",87.60
"Cumberland County, Pennsylvania",68.60
"Cumberland County, Tennessee",69.80
"Cumberland County, Virginia",71.90
"Cuming County, Nebraska",53.30
"Currituck County, North Carolina",69.50
"Curry County, New Mexico",65.90
"Curry County, Oregon",75.30
"Custer County, Colorado",76.00
"Custer County, Idaho",55.50
"Custer County, Montana",69.30
"Custer County, Nebraska",56.70
"Custer County, Oklahoma",82.10
"Custer County, South Dakota",61.40
"Cuyahoga County, Ohio",67.10
"Dade County, Georgia",99.20
"Dade County, Missouri",87.00
"Daggett County, Utah",63.10
"Dakota County, Minnesota",61.20
"Dakota County, Nebraska",54.80
"Dale County, Alabama",88.50
"Dallam County, Texas",94.00
"Dallas County, Alabama",109.30
"Dallas County, Arkansas",107.50
"Dallas County, Iowa",60.90
"Dallas County, Missouri",86.50
"Dallas County, Texas",93.40
"Dane County, Wisconsin",58.20
"Daniels County, Montana",65.60
"Danville City County, Virginia",95.00
"Dare County, North Carolina",62.20
"Darke County, Ohio",85.20
"Darlington County, South Carolina",146.90
"Dauphin County, Pennsylvania",71.20
"Davidson County, North Carolina",95.10
"Davidson County, Tennessee",91.70
"Davie County, North Carolina",93.60
"Daviess County, Indiana",105.90
"Daviess County, Kentucky",77.00
"Daviess County, Missouri",87.20
"Davis County, Iowa",76.70
"Davis County, Utah",73.30
"Davison County, South Dakota",76.30
"Dawes County, Nebraska",65.20
"Dawson County, Georgia",79.30
"Dawson County, Montana",66.00
"Dawson County, Nebraska",54.50
"Dawson County, Texas",87.20
"Day County, South Dakota",77.60
"De Baca County, New Mexico",54.60
"De Soto Parish County, Louisiana",82.40
"De Witt County, Illinois",71.80
"Deaf Smith County, Texas",59.20
"Dearborn County, Indiana",91.90
"Decatur County, Georgia",95.10
"Decatur County, Iowa",49.10
"Decatur County, Indiana",82.50
"Decatur County, Kansas",59.70
"Decatur County, Tennessee",89.80
"Deer Lodge County, Montana",51.90
"Defiance County, Ohio",70.80
"DeKalb County, Alabama",97.70
"DeKalb County, Georgia",82.00
"DeKalb County, Illinois",72.60
"DeKalb County, Indiana",73.20
"DeKalb County, Missouri",94.10
"DeKalb County, Tennessee",99.70
"Del Norte County, California",75.20
"Delaware County, Iowa",56.90
"Delaware County, Indiana",80.60
"Delaware County, New York",56.00
"Delaware County, Ohio",73.90
"Delaware County, Oklahoma",89.70
"Delaware County, Pennsylvania",81.70
"Delta County, Colorado",71.70
"Delta County, Michigan",58.40
"Delta County, Texas",102.30
"Denali County, Alaska",63.40
"Dent County, Missouri",104.50
"Denton County, Texas",77.90
"Denver County, Colorado",67.90
"Des Moines County, Iowa",86.70
"Deschutes County, Oregon",68.90
"Desha County, Arkansas",104.10
"DeSoto County, Florida",52.20
"DeSoto County, Mississippi",77.50
"Deuel County, Nebraska",58.40
"Deuel County, South Dakota",78.10
"Dewey County, Oklahoma",71.50
"Dewey County, South Dakota",39.50
"DeWitt County, Texas",82.00
"Dickens County, Texas",101.90
"Dickenson County, Virginia",76.80
"Dickey County, North Dakota",71.90
"Dickinson County, Iowa",72.30
"Dickinson County, Kansas",81.30
"Dickinson County, Michigan",81.00
"Dickson County, Tennessee",103.40
"Dillingham County, Alaska",81.40
"Dillon County, South Carolina",111.90
"Dimmit County, Texas",78.30
"Dinwiddie County, Virginia",76.30
"Comerio Municipio County, Puerto Rico",49.20
"Divide County, North Dakota",79.30
"Dixie County, Florida",88.30
"Dixon County, Nebraska",58.70
"Doddridge County, West Virginia",73.00
"Dodge County, Georgia",101.40
"Dodge County, Minnesota",60.90
"Dodge County, Nebraska",68.60
"Dodge County, Wisconsin",63.30
"Dolores County, Colorado",70.10
"Dona Ana County, New Mexico",63.70
"Doniphan County, Kansas",100.50
"Donley County, Texas",69.70
"Dooly County, Georgia",81.80
"Door County, Wisconsin",66.90
"Corozal Municipio County, Puerto Rico",56.00
"Dorchester County, Maryland",78.30
"Dorchester County, South Carolina",94.50
"Dougherty County, Georgia",90.60
"Douglas County, Colorado",55.20
"Douglas County, Georgia",84.40
"Douglas County, Illinois",75.70
"Douglas County, Kansas",59.70
"Douglas County, Minnesota",63.90
